workload_counter,input_len,total_duration,copy_duration,workload_duration,avg_freq,ns_per_byte
0,1048576,81042066,77882485,78873857,80111267,81097996
5,1048576,74142274,74154121,74286141,74588907,74222214
10,2097152,158736267,159427692,157401926,159618517,157545209
15,2097152,148445905,148307821,148518071,148584587,148349993
20,3145728,236744511,237344840,237731039,239332076,235086719
25,3145728,222880660,222764172,223127695,222933865,222442171
30,4194304,319120477,319945243,319534139,318650982,320704306
35,4194304,296826378,296942337,297001388,296833251,297154086
40,5242880,401019198,398472139,397395662,396390860,396719080
45,5242880,371286201,371299662,371138623,371125853,370805189
50,6291456,478603016,478064862,486395359,479168496,481902290
55,6291456,445638082,445669359,445712420,445814863,445504948
60,7340032,559002439,560103527,551758614,559025530,558645827
65,7340032,519394094,519885803,519716297,519657049,519732528
70,8388608,638310635,639881380,645122201,642908866,638132520
75,8388608,594069815,593812258,593928620,594346338,594192676
80,9437184,715431804,709571312,712194502,715868619,711083331
85,9437184,668563541,667973495,668130097,668032548,668090094
90,10485760,790564864,793420397,784017680,789948431,792156906
95,10485760,742783311,742243144,742567608,742613564,742233341
100,11534336,870718215,869238106,869863479,868532620,868500593
105,11534336,816529291,816657470,816266748,816484285,816892463
110,12582912,944823625,952419358,955871814,950929019,959467273
115,12582912,891253933,891832070,891219312,891037710,890942782
120,13631488,1034474021,1037914300,1039287344,1033870777,1043519562
125,13631488,965467537,965626769,965418321,965367257,965590385
130,14680064,1111221339,1108000624,1117849983,1105444802,1121711661
135,14680064,1039686632,1039771203,1039832824,1039662322,1039769533
140,15728640,24081718,18715818,28388928,23089696,22885663
145,15728640,1114100034,1114176094,1114370885,1114316732,1113775700
150,16777216,131941591,101888777,104251872,102942573,111246129
155,16777216,25790080,25964009,26054813,25718263,26208617
160,17825792,202416768,186081243,189571395,199907759,206449236
165,17825792,100635747,100572786,100597212,99555247,100570844
170,18874368,277213808,258200250,249659422,254496435,271136770
175,18874368,175423395,175153275,175137214,174301150,174988894
180,19922944,346441555,345406252,346441987,339882943,339019620
185,19922944,248636934,248927011,248319930,248788148,248105944
190,20971520,425925554,415949835,404021562,410429992,417970929
195,20971520,322857540,323008468,323179990,324231651,322954991
200,22020096,502857695,506121196,499187495,483476891,482510188
205,22020096,397253343,397309635,396754695,396976071,397513318
210,23068672,573151573,588983540,592824009,582629809,574124462
215,23068672,471975130,471263375,470874939,470601992,471632575
220,24117248,658867464,663001388,656790793,674031900,687013179
225,24117248,545775987,545953168,546013266,545867000,545971359
230,25165824,750321017,752707629,744767636,759521208,759102772
235,25165824,620197439,619857765,620102677,619919387,620061189
240,26214400,816737327,836859084,830111658,834053199,839316405
245,26214400,695415159,694396889,694257315,694176855,694505899
250,27262976,918544395,929516445,908386012,906853605,920694938
255,27262976,768655345,768858051,768148331,768857191,769193946
260,28311552,994777779,992222264,1015852327,979690605,971199553
265,28311552,842751848,842637964,842350031,843068322,842741547
270,29360128,1087395823,1081812566,1068396354,1067148567,1068191650
275,29360128,917261637,916984695,917087786,917756430,916531962
280,30408704,1158759432,1152829893,1156610781,1161987239,1147237719
285,30408704,991639342,991349503,991362353,992885444,991254344
290,31457280,64361667,78850677,74397622,71830292,69897175
295,31457280,1065681724,1064305606,1064932025,1065846730,1065601020
300,32505856,155374771,150986822,152251358,149287159,158088478
305,32505856,1140197401,1140485774,1140136459,1139977613,1140886654
310,33554432,252704538,249581651,245475205,249331519,236495785
315,33554432,51812459,52087428,51481870,51873355,52510560
320,34603008,302579859,306615247,320294538,319242390,303742747
325,34603008,127289147,125972350,126174379,126845127,126012521
330,35651584,396580884,385077633,368777047,388540230,414568280
335,35651584,201357131,202431602,200263109,200352123,200690668
340,36700160,484628985,475235492,506015856,526564995,484841971
345,36700160,274532413,274553483,274681124,274277531,274448078
350,37748736,567114006,569275265,538387410,540934978,558257934
355,37748736,350100987,347767303,349813356,349339004,349338123
360,38797312,648967406,664933317,628532037,641464270,654316157
365,38797312,423552930,423531884,423271585,424341787,424121615
370,39845888,739723749,733272060,746927529,749116317,746539538
375,39845888,498714961,498398006,497710375,498389747,497576118
380,40894464,843852447,830805550,823191431,808240359,841065394
385,40894464,573348895,572004987,572991166,571642435,572522261
