77,74,75,76,77
75,76,75,76,75
75,75,75,76,74
76,76,76,75,76
76,76,75,75,75
76,75,77,76,76
76,76,75,76,76
76,76,76,76,76
75,75,75,75,75
75,75,74,75,75
75,75,75,75,75
75,75,75,75,76
75,76,76,75,76
75,75,76,75,76
1,1,1,1,1
7,6,6,6,6
11,10,10,11,11
14,13,13,13,14
17,17,17,17,17
20,19,19,19,19
22,22,22,21,21
24,25,25,25,24
27,27,27,27,28
29,29,29,30,30
31,31,31,31,32
33,34,33,33,33
35,35,35,34,34
37,36,36,36,36
38,37,38,38,37
2,2,2,2,2
4,4,4,4,4
7,7,7,7,7
8,8,9,9,8
11,10,10,10,11
13,12,13,14,13
15,15,14,14,14
16,17,16,16,16
18,18,18,18,18
20,20,20,19,20
