137,137,137,137,137
137,137,137,137,137
137,137,137,137,137
137,137,137,137,137
137,137,137,137,137
137,137,137,137,137
137,137,137,137,137
137,137,137,137,137
14,14,14,14,14
27,27,27,27,27
37,37,37,37,37
45,45,45,45,45
52,52,52,52,52
58,58,58,58,58
64,64,64,64,64
68,68,68,68,68
7,7,7,7,7
14,14,14,14,14
21,21,21,21,21
27,27,27,27,27
32,32,32,32,32
37,37,37,37,37
41,41,41,41,41
45,45,45,45,45
5,4,5,4,4
10,10,10,10,10
14,14,14,14,14
19,19,19,19,19
23,23,23,23,23
27,27,27,27,27
30,30,30,30,30
34,34,34,34,34
3,3,3,3,3
7,7,7,7,7
11,11,11,11,11
14,14,14,14,14
18,18,18,18,18
21,21,21,21,21
24,24,24,24,24
