workload_counter,input_len,workload_cycles,avg_freq
5,1048576,547237232,3106002473
6,1048576,547093814,3119406540
7,1048576,547154742,2956571141
8,1048576,547354692,2944133487
9,1048576,547881908,2989481415
15,2097152,821250662,3061115198
16,2097152,821173790,3043211843
17,2097152,821063848,3049837143
18,2097152,821035168,3076763393
19,2097152,821171356,2988528823
25,3145728,1095249006,3018559130
26,3145728,1095365898,2941355132
27,3145728,1095877366,2992595429
28,3145728,1095427070,3008238364
29,3145728,1095438384,2989849808
35,4194304,1369579190,3004719311
36,4194304,1370609688,2988776196
37,4194304,1369791204,2961319718
38,4194304,1369571680,2925489619
39,4194304,1370995484,2993265362
45,5242880,1644468080,2926218407
46,5242880,1644941834,2939655406
47,5242880,1643634810,2926500869
48,5242880,1644247012,2978661741
49,5242880,1643755410,2938613222
55,6291456,1917171252,2946501702
56,6291456,1917777128,2989074897
57,6291456,1917311828,2946865664
58,6291456,1917307270,2938673268
59,6291456,1917597752,2946471663
65,7340032,2191399430,2939996401
66,7340032,2191377440,2969366077
67,7340032,2191846056,2933946481
68,7340032,2191860382,2987404447
69,7340032,2192204370,2985876253
75,8388608,2465263778,2932671167
76,8388608,2465647820,2960775743
77,8388608,2465913990,2967063901
78,8388608,2467326648,2935747568
79,8388608,2466157406,2928148016
85,9437184,2740720490,3092726768
86,9437184,2740681916,2934217102
87,9437184,2740705940,2978645610
88,9437184,2741023884,2994031946
89,9437184,2740030422,2992522827
95,10485760,3020531378,3144212042
96,10485760,3021331432,2943558288
97,10485760,3021592634,2996187325
98,10485760,3020377094,3008458589
99,10485760,3020650374,3200524158
105,11534336,3294912548,3161630922
106,11534336,3293809466,3021835782
107,11534336,3294201178,3224174323
108,11534336,3294026482,2996395600
109,11534336,3295677006,2956297461
115,12582912,3570326520,3017838529
116,12582912,3570609374,3021222893
117,12582912,3569293260,2989804745
118,12582912,3570093002,3058153069
119,12582912,3569217838,3013098758
125,13631488,3844290222,3031807311
126,13631488,3844112266,3057801280
127,13631488,3842355790,3097525698
128,13631488,3844151144,3015191283
129,13631488,3842405146,2979699619
135,14680064,4118129190,3159444083
136,14680064,4117828798,3090765254
137,14680064,4117873504,3036002764
138,14680064,4118010926,3061952614
139,14680064,4119120384,2986015007
145,15728640,4391405418,2019058828
146,15728640,4392018094,2152937115
147,15728640,4392244484,2184606684
148,15728640,4392090916,2088533927
149,15728640,4393098550,2091398960
155,16777216,4666334788,2078364298
156,16777216,4665309730,2135738741
157,16777216,4666173938,2218401671
158,16777216,4665495224,2134511560
159,16777216,4665843472,2110418352
165,17825792,4939072468,2160399122
166,17825792,4938612766,2215885041
167,17825792,4939130038,2214185648
168,17825792,4939409444,2285259590
169,17825792,4940131784,2187759841
175,18874368,5213239852,2157519392
176,18874368,5213069724,2252899894
177,18874368,5212212738,2321711690
178,18874368,5213747572,2314886224
179,18874368,5211757652,2283283378
185,19922944,5486801180,2197905624
186,19922944,5486164640,2344310061
187,19922944,5487459534,2374096021
188,19922944,5489607368,2378306100
189,19922944,5486428462,2312607185
195,20971520,5765517350,2350063376
196,20971520,5762381566,2206780765
197,20971520,5761368920,2397283153
198,20971520,5763366702,2385449077
199,20971520,5762453802,2238062661
205,22020096,6037273358,2340145197
206,22020096,6035143958,2237652954
207,22020096,6034506380,2428239340
208,22020096,6035457042,2405445740
209,22020096,6037797062,2277048780
215,23068672,6312690508,2420176285
216,23068672,6310958596,2281342808
217,23068672,6311450120,2259996386
218,23068672,6311268474,2239839528
219,23068672,6312482662,2343303454
225,24117248,6586213918,2437112351
226,24117248,6583830726,2380137992
227,24117248,6583465576,2440408519
228,24117248,6583330188,2388684496
229,24117248,6583486156,2344831962
235,25165824,6860401918,2287878805
236,25165824,6859288628,2343304821
237,25165824,6858199646,2444446343
238,25165824,6858486922,2406607065
239,25165824,6857323794,2392773482
245,26214400,7134687410,2347220783
246,26214400,7134579952,2409296093
247,26214400,7132070196,2394043836
248,26214400,7135105342,2426833830
249,26214400,7133678840,2421065816
255,27262976,7406184400,2465327936
256,27262976,7405439526,2486119480
257,27262976,7403269756,2436794732
258,27262976,7407840454,2564549347
259,27262976,7408774336,2349469773
265,28311552,7681806400,2409691867
266,28311552,7683551742,2358454475
267,28311552,7681559788,2460407432
268,28311552,7682864478,2498826894
269,28311552,7682923692,2448583440
275,29360128,7957855720,2428882864
276,29360128,7954473800,2518149591
277,29360128,7957176580,2517915922
278,29360128,7955520896,2515043172
279,29360128,7957260012,2501636931
285,30408704,8231647970,2503343576
286,30408704,8229686916,2399648981
287,30408704,8228017374,2582922762
288,30408704,8231234674,2513312754
289,30408704,8229177592,2430095093
295,31457280,8506542354,2562804126
296,31457280,8505131996,2598025828
297,31457280,8506658122,2555516374
298,31457280,8504766064,2417560719
299,31457280,8502834284,2487000366
305,32505856,8779360570,2445794677
306,32505856,8775675192,2613475051
307,32505856,8777425174,2598305646
308,32505856,8779155096,2579726264
309,32505856,8777467786,2501409203
315,33554432,9051178992,2486128892
316,33554432,9051445580,2462370127
317,33554432,9051439250,2569179016
318,33554432,9054058820,2558475333
319,33554432,9053645256,2630751985
325,34603008,9329847090,2054030079
326,34603008,9327852650,2032505978
327,34603008,9329671626,2096888808
328,34603008,9326724562,2025743001
329,34603008,9328911540,1992356222
335,35651584,9603728128,2047524463
336,35651584,9602722806,2059463271
337,35651584,9601829236,2096442591
338,35651584,9603553414,2124187040
339,35651584,9604999494,2037054766
345,36700160,9873943942,2051023520
346,36700160,9877115368,2173452294
347,36700160,9875544372,2118857065
348,36700160,9876154374,2143136147
349,36700160,9875300924,2067704802
355,37748736,10144537812,2061452060
356,37748736,10147133480,2215303330
357,37748736,10148291624,2228278259
358,37748736,10150548706,2125296009
359,37748736,10152739704,2202182106
365,38797312,10425437950,2128214179
366,38797312,10425232244,2168166816
367,38797312,10424389040,2138072913
368,38797312,10425562082,2162468713
369,38797312,10427098556,2124198364
375,39845888,10698360262,2159250076
376,39845888,10699947534,2200538077
377,39845888,10699166988,2194055807
378,39845888,10698483054,2227264192
379,39845888,10699378284,2216199206
385,40894464,10976104010,2154722278
386,40894464,10970600340,2116869737
387,40894464,10972899020,2117413021
388,40894464,10972568984,2197390301
389,40894464,10971597818,2256570765
