workload_counter,input_len,workload_cycles,avg_freq
0,1048576,879883848,2926716224
1,1048576,891721908,3899999738
2,1048576,939176870,3900000523
3,1048576,906498276,3900000641
4,1048576,901973098,3900000937
10,2097152,1507316384,3900000493
11,2097152,1510116338,3899999471
12,2097152,1511313614,3900000114
13,2097152,1504162112,3900000325
14,2097152,1514576310,3899999970
20,3145728,2122482490,3900000752
21,3145728,2132824272,3900000736
22,3145728,2126596200,3900000272
23,3145728,2118016328,3900000001
24,3145728,2126418164,3900001056
30,4194304,2742807852,3900000596
31,4194304,2746164570,3900000229
32,4194304,2746863694,3899999505
33,4194304,2742001724,3899997361
34,4194304,2742586558,3899999707
40,5242880,3362927446,3899999552
41,5242880,3363094246,3900000860
42,5242880,3377116810,3899999890
43,5242880,3461845762,3899999905
44,5242880,3336505066,3899999870
50,6291456,3944465020,3899999872
51,6291456,3949823562,3900000166
52,6291456,3965136526,3899999922
53,6291456,3944670412,3899999829
54,6291456,3950807578,3899999835
60,7340032,4611523546,2975347347
61,7340032,4589291366,2971211703
62,7340032,4573756650,2968301170
63,7340032,4568653084,2967340410
64,7340032,4575526550,2968632999
70,8388608,5177967392,3069547752
71,8388608,5173563532,3068889179
72,8388608,5158919740,3066693740
73,8388608,5142440196,3064207437
74,8388608,5159846302,3066832033
80,9437184,5769324232,3149380879
81,9437184,5765282956,3148887686
82,9437184,5765343038,3148894632
83,9437184,5786307052,3151447358
84,9437184,5791882274,3152123400
90,10485760,6398691318,3219049464
91,10485760,6428684948,3222048019
92,10485760,6391678824,3218344888
93,10485760,6412356710,3220419343
94,10485760,6418423438,3221025428
100,11534336,6988564160,3273544752
101,11534336,6978755482,3272710695
102,11534336,7064263580,3279913955
103,11534336,7011328888,3275474117
104,11534336,7005341782,3274968108
110,12582912,7629641496,3323671754
111,12582912,7634923900,3324051275
112,12582912,7664117552,3326141381
113,12582912,7625915086,3323403463
114,12582912,7582757586,3320279477
120,13631488,8256761596,3365508872
121,13631488,8239191750,3364419668
122,13631488,8238136416,3364354247
123,13631488,8236681734,3364263364
124,13631488,8229785376,3363834006
130,14680064,8819155510,3398176984
131,14680064,8841776892,3399408176
132,14680064,8843550364,3399504035
133,14680064,8802369046,3397260628
134,14680064,8807748546,3397554213
140,15728640,9482614348,2963855223
141,15728640,9471555864,2962804670
142,15728640,9453378808,2961072670
143,15728640,9453679096,2961101376
144,15728640,9475558160,2963185403
150,16777216,10104467856,3019368431
151,16777216,10094792902,3018554949
152,16777216,10124405090,3021039372
153,16777216,10103907736,3019320895
154,16777216,10095306678,3018598023
160,17825792,10729780902,3068924699
161,17825792,10747304990,3070233401
162,17825792,10766691416,3071676482
163,17825792,10709792170,3067427341
164,17825792,10743337282,3069937529
170,18874368,11357171436,3113340493
171,18874368,11343479766,3112421616
172,18874368,11314867606,3110494778
173,18874368,11371142374,3114275727
174,18874368,11330135644,3111524164
180,19922944,11948702352,3151077268
181,19922944,11976688184,3152773470
182,19922944,11973081606,3152555174
183,19922944,11976626612,3152769659
184,19922944,11961219076,3151837765
190,20971520,12582345622,3187681585
191,20971520,12583354276,3187736601
192,20971520,12591799880,3188200191
193,20971520,12585628512,3187861461
194,20971520,12582628162,3187696791
200,22020096,13257207768,3222926019
201,22020096,13250446080,3222590459
202,22020096,13235701126,3221856698
203,22020096,13202718430,3220210475
204,22020096,13189226542,3219535134
210,23068672,13834793844,2925650066
211,23068672,13804533312,3249047619
212,23068672,13820565164,3249782704
213,23068672,13785775890,3248185958
214,23068672,13873318332,2928283481
220,24117248,14477394846,2967785330
221,24117248,14618407682,2976548504
222,24117248,14575558294,2973903893
223,24117248,14471691566,2967427640
224,24117248,14452562972,2966224744
230,25165824,15017333220,3000471159
231,25165824,15058741504,3002883085
232,25165824,15137589298,3007440919
233,25165824,15062488842,3003100694
234,25165824,15118915532,3006365613
240,26214400,15781844600,3043015779
241,26214400,15784301796,3043145985
242,26214400,15769403988,3042355765
243,26214400,15827101946,3045408512
244,26214400,15805881422,3044288939
250,27262976,16381984044,3074031597
251,27262976,16386220640,3074239850
252,27262976,16405599294,3075193119
253,27262976,16338129236,3071866475
254,27262976,16326486042,3071289301
260,28311552,16930522020,3100191094
261,28311552,16920125480,3099710911
262,28311552,16975374724,3102257399
263,28311552,16930875914,3100207717
264,28311552,16956543658,3101391000
270,29360128,17525610946,3126759035
271,29360128,17625116728,3131030571
272,29360128,17610760434,3130417684
273,29360128,17535452262,3127183638
274,29360128,17585125746,3129319895
280,30408704,18182132786,3154094575
281,30408704,18310693150,3159223083
282,30408704,18218528980,3155554083
283,30408704,18164648504,3153391803
284,30408704,18187137018,3154295566
290,31457280,18736023950,2934262987
291,31457280,18682919716,2931573843
292,31457280,18733502000,2934135827
293,31457280,18724151212,2933663639
294,31457280,18789369878,2936949617
300,32505856,19392907178,2966331538
301,32505856,19409435452,2967110818
302,32505856,19395835236,2966469988
303,32505856,19403654598,2966838417
304,32505856,19309887394,2962396580
310,33554432,19930095090,2991015315
311,33554432,19919929160,2990560362
312,33554432,20040592506,2995932079
313,33554432,20040124800,2995911596
314,33554432,19991957106,2993774662
320,34603008,20593396236,3019750648
321,34603008,20611626652,3020514570
322,34603008,20565351416,3018572828
323,34603008,20583764478,3019346744
324,34603008,20599380618,3020001556
330,35651584,21264176060,3047014752
331,35651584,21203499132,3044621992
332,35651584,21203651724,3044628265
333,35651584,21225673676,3045498933
334,35651584,21202429830,3044579858
340,36700160,21842077398,3069192509
341,36700160,21705088914,3064041341
342,36700160,21712313468,3064314538
343,36700160,21777434508,3066770108
344,36700160,21769819952,3066483358
350,37748736,22403208946,3089646694
351,37748736,22438647138,3090904811
352,37748736,22488538238,3092669375
353,37748736,22551863652,3094897472
354,37748736,22495704814,3092922576
360,38797312,23092338886,3113428996
361,38797312,23088010984,3113283667
362,38797312,23115681794,3114209775
363,38797312,23140861422,3115051426
364,38797312,23116254056,3114229065
370,39845888,23744945258,2943373426
371,39845888,23698280132,2941519636
372,39845888,23716221312,2942233083
373,39845888,23739737492,2943166556
374,39845888,24115761882,2957849250
380,40894464,24330323176,2966026917
381,40894464,24358456676,2967088565
382,40894464,24316764460,2965514956
383,40894464,24305469740,2965087667
384,40894464,24334646032,2966190259
