workload_counter,input_len,workload_cycles
5,1048576,241652252
6,1048576,241556020
7,1048576,241610160
8,1048576,241647616
9,1048576,241595200
15,2097152,483103318
16,2097152,483295108
17,2097152,483269598
18,2097152,483232004
19,2097152,483162918
25,3145728,724830370
26,3145728,724723674
27,3145728,724942294
28,3145728,724723656
29,3145728,724828794
35,4194304,966412452
36,4194304,966380056
37,4194304,966467192
38,4194304,966354302
39,4194304,966367754
45,5242880,1208014120
46,5242880,1208016054
47,5242880,1207960342
48,5242880,1208000158
49,5242880,1207989914
55,6291456,1449383692
56,6291456,1449493868
57,6291456,1449494014
58,6291456,1449278088
59,6291456,1449492446
65,7340032,1691075542
66,7340032,1690910522
67,7340032,1690982678
68,7340032,1691071320
69,7340032,1691040270
75,8388608,1932726454
76,8388608,1932763530
77,8388608,1932785960
78,8388608,1932605854
79,8388608,1932712918
85,9437184,2174075932
86,9437184,2174276114
87,9437184,2174250080
88,9437184,2174387200
89,9437184,2174125158
95,10485760,2415881498
96,10485760,2415719312
97,10485760,2415741684
98,10485760,2415808686
99,10485760,2415990942
105,11534336,2657512142
106,11534336,2657340674
107,11534336,2657233242
108,11534336,2657496554
109,11534336,2657522600
115,12582912,2898830212
116,12582912,2898883956
117,12582912,2898993928
118,12582912,2898938044
119,12582912,2899433844
125,13631488,3140703744
126,13631488,3140527190
127,13631488,3140524154
128,13631488,3140700114
129,13631488,3140562610
135,14680064,3381965626
136,14680064,3382194096
137,14680064,3382075190
138,14680064,3381935400
139,14680064,3382206460
145,15728640,3623561720
146,15728640,3623692508
147,15728640,3623782822
148,15728640,3624216840
149,15728640,3623748760
155,16777216,3865281662
156,16777216,3865166490
157,16777216,3865157210
158,16777216,3865213244
159,16777216,3865331426
165,17825792,4106780542
166,17825792,4107215472
167,17825792,4106792066
168,17825792,4106827874
169,17825792,4107025210
175,18874368,4348830470
176,18874368,4348686330
177,18874368,4348660012
178,18874368,4348402464
179,18874368,4348408940
185,19922944,4590126238
186,19922944,4590201904
187,19922944,4589791168
188,19922944,4589982252
189,19922944,4589914484
195,20971520,4831500562
196,20971520,4831869858
197,20971520,4831299550
198,20971520,4831558982
199,20971520,4831582398
205,22020096,5072883058
206,22020096,5072851544
207,22020096,5073171124
208,22020096,5073195658
209,22020096,5073020822
215,23068672,5314884616
216,23068672,5314908898
217,23068672,5315025924
218,23068672,5315228984
219,23068672,5314990604
225,24117248,5556244246
226,24117248,5556660538
227,24117248,5556372330
228,24117248,5556220986
229,24117248,5556301512
235,25165824,5797762514
236,25165824,5797708250
237,25165824,5798135992
238,25165824,5798114078
239,25165824,5798040258
245,26214400,6039136776
246,26214400,6039865920
247,26214400,6039396212
248,26214400,6039615430
249,26214400,6039631292
255,27262976,6280706268
256,27262976,6280826856
257,27262976,6281544114
258,27262976,6281418628
259,27262976,6280930110
265,28311552,6522701284
266,28311552,6522807692
267,28311552,6522918166
268,28311552,6522450062
269,28311552,6523074830
275,29360128,6764462600
276,29360128,6764394796
277,29360128,6764598418
278,29360128,6764114808
279,29360128,6764261322
285,30408704,7005988820
286,30408704,7005563496
287,30408704,7005771572
288,30408704,7005573050
289,30408704,7005691736
295,31457280,7247297150
296,31457280,7247753508
297,31457280,7247178294
298,31457280,7246727798
299,31457280,7247532538
305,32505856,7489096494
306,32505856,7488881584
307,32505856,7488954380
308,32505856,7488824718
309,32505856,7488912510
315,33554432,7730419850
316,33554432,7730348950
317,33554432,7730279380
318,33554432,7730196088
319,33554432,7730473684
325,34603008,7971802848
326,34603008,7971862746
327,34603008,7972102730
328,34603008,7971817092
329,34603008,7971894062
335,35651584,8213480860
336,35651584,8213162556
337,35651584,8213917592
338,35651584,8213806752
339,35651584,8213995358
345,36700160,8455191136
346,36700160,8455542498
347,36700160,8455220304
348,36700160,8454908616
349,36700160,8454966028
355,37748736,8696955292
356,37748736,8696884850
357,37748736,8697262908
358,37748736,8696932630
359,37748736,8697070668
365,38797312,8938191152
366,38797312,8938400636
367,38797312,8938574890
368,38797312,8938882300
369,38797312,8938441710
375,39845888,9180031070
376,39845888,9180364538
377,39845888,9180263248
378,39845888,9179633206
379,39845888,9179964418
385,40894464,9421557976
386,40894464,9421681236
387,40894464,9421263862
388,40894464,9421791240
389,40894464,9421756370
