workload_counter,input_len,max_freq,aperf,mperf
0,1048576,3700000000,1339777650,1271071547
1,1048576,3700000000,254424008,241376903
2,1048576,3700000000,254381914,241336964
3,1048576,3700000000,254387594,241342340
4,1048576,3700000000,254420124,241373218
10,2097152,3700000000,508804909,482712638
11,2097152,3700000000,508834346,482740574
12,2097152,3700000000,508855466,482760599
13,2097152,3700000000,508797473,482705573
14,2097152,3700000000,508773798,482683135
20,3145728,3700000000,763321047,724176671
21,3145728,3700000000,763277799,724135620
22,3145728,3700000000,763124760,723990463
23,3145728,3700000000,763374186,724227066
24,3145728,3700000000,763267121,724125505
30,4194304,3700000000,1017555246,965373210
31,4194304,3700000000,1017573421,965390435
32,4194304,3700000000,1017577473,965394280
33,4194304,3700000000,1017415361,965240487
34,4194304,3700000000,1017656400,965469162
40,5242880,3700000000,1272302685,1207056663
41,5242880,3700000000,1271892549,1206667562
42,5242880,3700000000,1272084481,1206849675
43,5242880,3700000000,1272089418,1206854338
44,5242880,3700000000,1271874708,1206650651
50,6291456,3700000000,1526352551,1448078339
51,6291456,3700000000,1526186180,1447920514
52,6291456,3700000000,1526354893,1448080590
53,6291456,3700000000,1526011564,1447754835
54,6291456,3700000000,1526261756,1447992200
60,7340032,3700000000,1780584370,1689272622
61,7340032,3700000000,1780514094,1689205937
62,7340032,3700000000,1780765746,1689444710
63,7340032,3700000000,1780466012,1689160357
64,7340032,3700000000,1780314548,1689016658
70,8388608,3700000000,2035081908,1930719022
71,8388608,3700000000,2035209040,1930839642
72,8388608,3700000000,2039384424,1934801055
73,8388608,3700000000,2034771920,1930424903
74,8388608,3700000000,2034767275,1930420518
80,9437184,3700000000,2289203658,2171808871
81,9437184,3700000000,2289476503,2172067723
82,9437184,3700000000,2289411025,2172005593
83,9437184,3700000000,2289149736,2171757702
84,9437184,3700000000,2289157201,2171764791
90,10485760,3700000000,2543998909,2413537700
91,10485760,3700000000,2543773775,2413324118
92,10485760,3700000000,2543733466,2413285886
93,10485760,3700000000,2543504305,2413068477
94,10485760,3700000000,2543566295,2413127275
100,11534336,3700000000,2798190668,2654694005
101,11534336,3700000000,2797989393,2654503027
102,11534336,3700000000,2797973168,2654487638
