workload_counter,input_len,workload_cycles
0,1048576,241697800
1,1048576,241785162
2,1048576,241658904
3,1048576,241665532
4,1048576,241713434
10,2097152,485730744
11,2097152,483354150
12,2097152,484284600
13,2097152,483311284
14,2097152,483432036
20,3145728,724906130
21,3145728,728280920
22,3145728,725042996
23,3145728,725554092
24,3145728,727501488
30,4194304,970987560
31,4194304,966845920
32,4194304,966488556
33,4194304,970939432
34,4194304,966587648
40,5242880,1212940268
41,5242880,1210479686
42,5242880,1208252324
43,5242880,1208036968
44,5242880,1212987546
50,6291456,1449879312
51,6291456,1449786472
52,6291456,1453216712
53,6291456,1456102424
54,6291456,1451824358
60,7340032,1691620952
61,7340032,1691641834
62,7340032,1691409094
63,7340032,1694427380
64,7340032,1697525344
70,8388608,1939922940
71,8388608,1940886656
72,8388608,1940628956
73,8388608,1940534818
74,8388608,1940493284
80,9437184,2182825148
81,9437184,2180122266
82,9437184,2174815088
83,9437184,2174677322
84,9437184,2178024906
90,10485760,2417467716
91,10485760,2424318604
92,10485760,2424301514
93,10485760,2418960434
94,10485760,2416360766
100,11534336,2658102836
101,11534336,2657917934
102,11534336,2658477088
103,11534336,2658954086
104,11534336,2663961472
110,12582912,2900669678
111,12582912,2904929556
112,12582912,2902823196
113,12582912,2899814120
114,12582912,2899457716
120,13631488,3145087330
121,13631488,3144291350
122,13631488,3144005704
123,13631488,3143549792
124,13631488,3143720682
130,14680064,3390883898
131,14680064,3390519298
132,14680064,3390973424
133,14680064,3390366816
134,14680064,3390399608
140,15728640,3630903536
141,15728640,3630471526
142,15728640,3631645070
143,15728640,3632315548
144,15728640,3632235034
150,16777216,3866625364
151,16777216,3874364178
152,16777216,3872549346
153,16777216,3873176522
154,16777216,3873945256
160,17825792,4109516554
161,17825792,4114106942
162,17825792,4115820966
163,17825792,4115012846
164,17825792,4115139346
170,18874368,4349769924
171,18874368,4350745758
172,18874368,4354193820
173,18874368,4356110840
174,18874368,4355925408
180,19922944,4599082680
181,19922944,4592512634
182,19922944,4597492954
183,19922944,4599137470
184,19922944,4598992060
190,20971520,4840799250
191,20971520,4840392828
192,20971520,4840245204
193,20971520,4834079704
194,20971520,4840638982
200,22020096,5081899380
201,22020096,5076657482
202,22020096,5082201312
203,22020096,5082541380
204,22020096,5081931654
210,23068672,5323650540
211,23068672,5323280910
212,23068672,5319491462
213,23068672,5323399464
214,23068672,5323674020
220,24117248,5565554670
221,24117248,5565528602
222,24117248,5563213522
223,24117248,5565987300
224,24117248,5564644210
230,25165824,5807028370
231,25165824,5806664326
232,25165824,5807426368
233,25165824,5807272780
234,25165824,5804881708
240,26214400,6048668628
241,26214400,6049046222
242,26214400,6048858364
243,26214400,6048651918
244,26214400,6048967326
250,27262976,6290390990
251,27262976,6290215650
252,27262976,6289995974
253,27262976,6289602332
254,27262976,6290423902
260,28311552,6531766084
261,28311552,6532181016
262,28311552,6531527328
263,28311552,6532505154
264,28311552,6531622340
270,29360128,6774180042
271,29360128,6773493430
272,29360128,6777909050
273,29360128,6773868170
274,29360128,6774628502
280,30408704,7018407828
281,30408704,7015330862
282,30408704,7015606452
283,30408704,7016740780
284,30408704,7015248728
290,31457280,7256552240
291,31457280,7259318748
292,31457280,7257377330
293,31457280,7256588402
294,31457280,7258990632
300,32505856,7501801634
301,32505856,7498445572
302,32505856,7498530918
303,32505856,7502210048
304,32505856,7498362032
310,33554432,7741396178
311,33554432,7740134582
312,33554432,7746121848
313,33554432,7740491712
314,33554432,7740701986
320,34603008,7982840416
321,34603008,7981664496
322,34603008,7981905584
323,34603008,7988079944
324,34603008,7981871362
330,35651584,8230073316
331,35651584,8223860748
332,35651584,8223159958
333,35651584,8223431750
334,35651584,8229467774
340,36700160,8465087684
341,36700160,8466189412
342,36700160,8472802056
343,36700160,8471919062
344,36700160,8471351772
350,37748736,8712286068
351,37748736,8714202648
352,37748736,8712507934
353,37748736,8709654094
354,37748736,8707100016
360,38797312,8955039080
361,38797312,8953648766
362,38797312,8950483900
363,38797312,8948482014
364,38797312,8948464608
370,39845888,9198014182
371,39845888,9193012342
372,39845888,9193122732
373,39845888,9189720562
374,39845888,9190427380
380,40894464,9440334728
381,40894464,9438922034
382,40894464,9439177118
383,40894464,9439265228
384,40894464,9438763160
