workload_counter,input_len,max_freq,aperf,mperf
5,1048576,3700000000,254386950,241341733
6,1048576,3700000000,254366028,241321886
7,1048576,3700000000,254309562,241268313
8,1048576,3700000000,254429577,241382198
9,1048576,3700000000,254312827,241271446
15,2097152,3700000000,508654147,482569588
16,2097152,3700000000,508784623,482693358
17,2097152,3700000000,508679452,482593619
18,2097152,3700000000,508633694,482550188
19,2097152,3700000000,508682459,482596464
25,3145728,3700000000,763089688,723957150
26,3145728,3700000000,762998701,723870836
27,3145728,3700000000,763051308,723920739
28,3145728,3700000000,763065976,723934688
29,3145728,3700000000,762987246,723859984
35,4194304,3700000000,1017432708,965256970
36,4194304,3700000000,1017191344,965027959
37,4194304,3700000000,1017400355,965226261
38,4194304,3700000000,1017400494,965226391
39,4194304,3700000000,1017115123,964955635
45,5242880,3700000000,1271613185,1206402518
46,5242880,3700000000,1271544794,1206337649
47,5242880,3700000000,1271755628,1206537688
48,5242880,3700000000,1271708319,1206492777
49,5242880,3700000000,1271725797,1206509359
55,6291456,3700000000,1525956770,1447702857
56,6291456,3700000000,1525928016,1447675586
57,6291456,3700000000,1525908563,1447657122
58,6291456,3700000000,1525860114,1447611176
59,6291456,3700000000,1525918844,1447666878
65,7340032,3700000000,1780168754,1688878329
66,7340032,3700000000,1780471195,1689165237
67,7340032,3700000000,1780380270,1689079002
68,7340032,3700000000,1780471246,1689165307
69,7340032,3700000000,1780287389,1688990897
75,8388608,3700000000,2034875273,1930522973
76,8388608,3700000000,2034702521,1930359089
77,8388608,3700000000,2034639170,1930298958
78,8388608,3700000000,2034736732,1930391537
79,8388608,3700000000,2034446058,1930115749
85,9437184,3700000000,2289038950,2171652604
86,9437184,3700000000,2289000637,2171616275
87,9437184,3700000000,2288652336,2171285824
88,9437184,3700000000,2289079937,2171691529
89,9437184,3700000000,2288667524,2171300253
95,10485760,3700000000,2543564582,2413125653
96,10485760,3700000000,2543240575,2412818260
97,10485760,3700000000,2543318978,2412892653
98,10485760,3700000000,2543223787,2412802349
99,10485760,3700000000,2543324036,2412897440
105,11534336,3700000000,2797300809,2653849755
106,11534336,3700000000,2797475563,2654015570
107,11534336,3700000000,2797619448,2654152068
108,11534336,3700000000,2797589665,2654123809
109,11534336,3700000000,2797579931,2654114588
115,12582912,3700000000,3052130026,2895610821
116,12582912,3700000000,3051842719,2895338238
117,12582912,3700000000,3052231357,2895706939
118,12582912,3700000000,3051808200,2895305497
119,12582912,3700000000,3051797939,2895295756
125,13631488,3700000000,3306450320,3136889072
126,13631488,3700000000,3306084824,3136542283
127,13631488,3700000000,3306310830,3136756708
128,13631488,3700000000,3306455728,3136894179
129,13631488,3700000000,3306676482,3137103611
135,14680064,3700000000,3560828380,3378222085
136,14680064,3700000000,3560350698,3377768869
137,14680064,3700000000,3560640715,3378044041
138,14680064,3700000000,3560469052,3377881162
139,14680064,3700000000,3560440171,3377853798
145,15728640,3700000000,3815138309,3619490480
146,15728640,3700000000,3814670274,3619046453
147,15728640,3700000000,3814994245,3619353791
148,15728640,3700000000,3815236737,3619583834
149,15728640,3700000000,3814663569,3619040092
155,16777216,3700000000,4069621436,3860923188
156,16777216,3700000000,4068814246,3860157372
157,16777216,3700000000,4069129646,3860456604
158,16777216,3700000000,4069373848,3860688300
159,16777216,3700000000,4069206451,3860529459
165,17825792,3700000000,4323528567,4101809416
166,17825792,3700000000,4323802251,4102069084
167,17825792,3700000000,4323537410,4101817816
168,17825792,3700000000,4323705305,4101977094
169,17825792,3700000000,4323463561,4101747764
175,18874368,3700000000,4577956192,4343189491
176,18874368,3700000000,4578014219,4343244544
177,18874368,3700000000,4578101923,4343327744
178,18874368,3700000000,4578195018,4343416073
179,18874368,3700000000,4577860573,4343098773
185,19922944,3700000000,4832030084,4584233928
186,19922944,3700000000,4832416035,4584600086
187,19922944,3700000000,4832778374,4584943854
188,19922944,3700000000,4832211623,4584406167
189,19922944,3700000000,4832359978,4584546915
195,20971520,3700000000,5086811177,4825949350
196,20971520,3700000000,5086816440,4825954324
197,20971520,3700000000,5086424654,4825582642
198,20971520,3700000000,5086801147,4825939811
199,20971520,3700000000,5086399496,4825558781
205,22020096,3700000000,5340823121,5066935050
206,22020096,3700000000,5340686262,5066805187
207,22020096,3700000000,5341031668,5067132908
208,22020096,3700000000,5340610806,5066733591
209,22020096,3700000000,5340788558,5066902248
215,23068672,3700000000,5595489230,5308541359
216,23068672,3700000000,5595544893,5308594174
217,23068672,3700000000,5595213579,5308279843
218,23068672,3700000000,5595199167,5308266182
219,23068672,3700000000,5595097034,5308169244
225,24117248,3700000000,5849576011,5549598035
226,24117248,3700000000,5849064855,5549113081
227,24117248,3700000000,5849647316,5549665680
228,24117248,3700000000,5849668706,5549685968
229,24117248,3700000000,5849111381,5549157243
235,25165824,3700000000,6104211973,5791175747
236,25165824,3700000000,6104190857,5791155694
237,25165824,3700000000,6103756129,5790743285
238,25165824,3700000000,6103712306,5790701706
239,25165824,3700000000,6103627644,5790621378
245,26214400,3700000000,6358443704,6032369936
246,26214400,3700000000,6358502727,6032425953
247,26214400,3700000000,6358549963,6032470742
248,26214400,3700000000,6358281377,6032215950
249,26214400,3700000000,6358192448,6032131584
255,27262976,3700000000,6612694429,6273582182
256,27262976,3700000000,6612465214,6273364703
257,27262976,3700000000,6613064096,6273932903
258,27262976,3700000000,6612480779,6273379476
259,27262976,3700000000,6611921471,6272848860
265,28311552,3700000000,6866957221,6514805869
266,28311552,3700000000,6866568182,6514436772
267,28311552,3700000000,6866838644,6514693343
268,28311552,3700000000,6866920183,6514770711
269,28311552,3700000000,6866683611,6514546255
275,29360128,3700000000,7121077279,6755894105
276,29360128,3700000000,7120994657,6755815707
277,29360128,3700000000,7121025777,6755845250
278,29360128,3700000000,7120580034,6755422375
279,29360128,3700000000,7121225723,6756034950
285,30408704,3700000000,7375769966,6997525647
286,30408704,3700000000,7375844299,6997596152
287,30408704,3700000000,7375773828,6997529286
288,30408704,3700000000,7375707457,6997466335
289,30408704,3700000000,7375518107,6997286687
295,31457280,3700000000,7629488497,7238232974
296,31457280,3700000000,7629814563,7238542281
297,31457280,3700000000,7629721301,7238453829
298,31457280,3700000000,7629622528,7238360127
299,31457280,3700000000,7629836213,7238562863
305,32505856,3700000000,7884336073,7480011403
306,32505856,3700000000,7884116164,7479802796
307,32505856,3700000000,7884137843,7479823362
308,32505856,3700000000,7884135474,7479821121
309,32505856,3700000000,7883739044,7479444998
315,33554432,3700000000,8138406708,7721052809
316,33554432,3700000000,8138653236,7721286685
317,33554432,3700000000,8138319952,7720970475
318,33554432,3700000000,8138154064,7720813106
319,33554432,3700000000,8138331241,7720981176
325,34603008,3700000000,8392542099,7962155616
326,34603008,3700000000,8393236440,7962814321
327,34603008,3700000000,8392943941,7962536852
328,34603008,3700000000,8393067220,7962653802
329,34603008,3700000000,8392441319,7962059974
335,35651584,3700000000,8646912541,8203481426
336,35651584,3700000000,8647147033,8203703888
337,35651584,3700000000,8646824289,8203397691
338,35651584,3700000000,8646837976,8203410654
339,35651584,3700000000,8646756616,8203333483
345,36700160,3700000000,8901694149,8445197297
346,36700160,3700000000,8901581469,8445090405
347,36700160,3700000000,8901214330,8444742079
348,36700160,3700000000,8901149806,8444680852
349,36700160,3700000000,8901801876,8445299483
355,37748736,3700000000,9156205899,8686657143
356,37748736,3700000000,9155127584,8685634137
357,37748736,3700000000,9155218077,8685720017
358,37748736,3700000000,9156204218,8686655576
359,37748736,3700000000,9155632850,8686113494
365,38797312,3700000000,9409979627,8927416847
366,38797312,3700000000,9409905326,8927346335
367,38797312,3700000000,9409648209,8927102441
368,38797312,3700000000,9409569929,8927028169
369,38797312,3700000000,9410089097,8927520710
375,39845888,3700000000,9664338303,9168731478
