workload_counter,input_len,workload_cycles
0,1048576,3065692
1,1048576,3062754
2,1048576,3064216
3,1048576,3079634
4,1048576,3073164
10,2097152,6139682
11,2097152,6144516
12,2097152,6135870
13,2097152,6139352
14,2097152,6152562
20,3145728,9215872
21,3145728,9203382
22,3145728,9525786
23,3145728,9202848
24,3145728,9228126
30,4194304,12273888
31,4194304,12268348
32,4194304,12268686
33,4194304,12284454
34,4194304,12290150
40,5242880,15361578
41,5242880,15762244
42,5242880,15532018
43,5242880,15341634
44,5242880,15359960
50,6291456,18420712
51,6291456,18407206
52,6291456,18429366
53,6291456,18466152
54,6291456,18456606
60,7340032,21464924
61,7340032,21481748
62,7340032,21467562
63,7340032,21550110
64,7340032,21477152
70,8388608,24565190
71,8388608,24767296
72,8388608,24974102
73,8388608,24544182
74,8388608,24551116
80,9437184,27638390
81,9437184,27612016
82,9437184,27698096
83,9437184,27628428
84,9437184,27622820
90,10485760,30686194
91,10485760,30686762
92,10485760,30681358
93,10485760,30694522
94,10485760,30669590
100,11534336,33742350
101,11534336,33799030
102,11534336,33795326
103,11534336,33753320
104,11534336,33747790
110,12582912,36973534
111,12582912,36818678
112,12582912,36824560
113,12582912,36826264
114,12582912,36835622
120,13631488,39968440
121,13631488,39876524
122,13631488,39906752
123,13631488,39907360
124,13631488,39955272
130,14680064,43102014
131,14680064,43081570
132,14680064,42961134
133,14680064,43082066
134,14680064,42965978
140,15728640,46001488
141,15728640,46142886
142,15728640,46023048
143,15728640,46025036
144,15728640,46081652
150,16777216,49166382
151,16777216,49089486
152,16777216,49088882
153,16777216,49266950
154,16777216,49215838
160,17825792,52261244
161,17825792,52249378
162,17825792,52180072
163,17825792,52605888
164,17825792,52194030
170,18874368,55486876
171,18874368,55243340
172,18874368,55483584
173,18874368,55298646
174,18874368,55255324
180,19922944,58602992
181,19922944,58313022
182,19922944,58578704
183,19922944,58329074
184,19922944,58283478
190,20971520,61363904
191,20971520,61426394
192,20971520,61394912
193,20971520,61522422
194,20971520,61437268
200,22020096,64393634
201,22020096,64430196
202,22020096,64422688
203,22020096,64416648
204,22020096,64429086
210,23068672,67496080
211,23068672,67521226
212,23068672,67511298
213,23068672,67454108
214,23068672,67509730
220,24117248,70609798
221,24117248,70570534
222,24117248,70523592
223,24117248,70582432
224,24117248,70562530
230,25165824,73633004
231,25165824,73598762
232,25165824,73801236
233,25165824,73747894
234,25165824,73654324
240,26214400,76775886
241,26214400,77104750
242,26214400,76737998
243,26214400,76831158
244,26214400,76696556
250,27262976,80057802
251,27262976,79812332
252,27262976,79848170
253,27262976,80219246
254,27262976,79826676
260,28311552,82880810
261,28311552,82842106
262,28311552,82836512
263,28311552,82895084
264,28311552,82851788
270,29360128,85992048
271,29360128,86199450
272,29360128,86015494
273,29360128,86149536
274,29360128,85940414
280,30408704,88999126
281,30408704,88983948
282,30408704,89043064
283,30408704,88996586
284,30408704,89044292
290,31457280,92134762
291,31457280,92196594
292,31457280,92214974
293,31457280,92129206
294,31457280,92203232
300,32505856,95166612
301,32505856,95792550
302,32505856,95056568
303,32505856,95118006
304,32505856,95239278
310,33554432,98208856
311,33554432,98287270
312,33554432,98246562
313,33554432,98269950
314,33554432,98161802
320,34603008,101226236
321,34603008,101260140
322,34603008,101257510
323,34603008,101244216
324,34603008,101906522
330,35651584,104417186
331,35651584,104313650
332,35651584,104313416
333,35651584,104332852
334,35651584,104353762
340,36700160,107474922
341,36700160,107443442
342,36700160,107697238
343,36700160,107656646
344,36700160,107426916
350,37748736,110529266
351,37748736,110555366
352,37748736,110599090
353,37748736,110625492
354,37748736,110631460
360,38797312,113632372
361,38797312,113565982
362,38797312,113847882
363,38797312,113641356
364,38797312,113582986
370,39845888,116707186
371,39845888,116853262
372,39845888,116680682
373,39845888,116646398
374,39845888,116730832
380,40894464,119954642
381,40894464,120046272
382,40894464,119662428
383,40894464,119721926
384,40894464,119748056
