workload_counter,input_len,workload_cycles
5,1048576,3065330
6,1048576,3062832
7,1048576,3063406
8,1048576,3063916
9,1048576,3064766
15,2097152,6124592
16,2097152,6129070
17,2097152,6124132
18,2097152,6124378
19,2097152,6124542
25,3145728,9189046
26,3145728,9188390
27,3145728,9190784
28,3145728,9190172
29,3145728,9189748
35,4194304,12261878
36,4194304,12256372
37,4194304,12249952
38,4194304,12255110
39,4194304,12253998
45,5242880,15314268
46,5242880,15312820
47,5242880,15313716
48,5242880,15313404
49,5242880,15412078
55,6291456,18378780
56,6291456,18378186
57,6291456,18386224
58,6291456,18378378
59,6291456,18375872
65,7340032,21441318
66,7340032,21446756
67,7340032,21442180
68,7340032,21442358
69,7340032,21440044
75,8388608,24499208
76,8388608,24502094
77,8388608,24504794
78,8388608,24502456
79,8388608,24496672
85,9437184,27563626
86,9437184,27562620
87,9437184,27566538
88,9437184,27569842
89,9437184,27563376
95,10485760,30628898
96,10485760,30628370
97,10485760,30623562
98,10485760,30630178
99,10485760,30627028
105,11534336,33690238
106,11534336,33686970
107,11534336,33687526
108,11534336,33686714
109,11534336,33690230
115,12582912,36757096
116,12582912,36756816
117,12582912,36754166
118,12582912,36753438
119,12582912,36761882
125,13631488,39813444
126,13631488,39815202
127,13631488,39819900
128,13631488,39815118
129,13631488,39815534
135,14680064,42878584
136,14680064,42876026
137,14680064,42870354
138,14680064,42882058
139,14680064,42878334
145,15728640,45936850
146,15728640,45934084
147,15728640,45939046
148,15728640,45945506
149,15728640,45944448
155,16777216,49003720
156,16777216,49008986
157,16777216,49007822
158,16777216,48999516
159,16777216,48995892
165,17825792,52061554
166,17825792,52070958
167,17825792,52061746
168,17825792,52066674
169,17825792,52070588
175,18874368,55125056
176,18874368,55125544
177,18874368,55127922
178,18874368,55125398
179,18874368,55126798
185,19922944,58180882
186,19922944,58191780
187,19922944,58185304
188,19922944,58187740
189,19922944,58180958
195,20971520,61247932
196,20971520,61250342
197,20971520,61261054
198,20971520,61251840
199,20971520,61252992
205,22020096,64305030
206,22020096,64311710
207,22020096,64314572
208,22020096,64314438
209,22020096,64313004
215,23068672,67377078
216,23068672,67374324
217,23068672,67384792
218,23068672,67380134
219,23068672,67371740
225,24117248,70448230
226,24117248,70438668
227,24117248,70438956
228,24117248,70436756
229,24117248,70443302
235,25165824,73504748
236,25165824,73504314
237,25165824,73501864
238,25165824,73559868
239,25165824,73517240
245,26214400,76568962
246,26214400,76576744
247,26214400,76575064
248,26214400,76565164
249,26214400,76570038
255,27262976,79634708
256,27262976,79630966
257,27262976,79624946
258,27262976,79630588
259,27262976,79633510
265,28311552,82686556
266,28311552,82690396
267,28311552,82698532
268,28311552,82684392
269,28311552,82693014
275,29360128,85759120
276,29360128,85746140
277,29360128,85750966
278,29360128,85744350
279,29360128,85753482
285,30408704,88829994
286,30408704,88820800
287,30408704,88818490
288,30408704,88826018
289,30408704,88823700
295,31457280,91881548
296,31457280,91881616
297,31457280,91876460
298,31457280,91877742
299,31457280,91880912
305,32505856,94938804
306,32505856,94939282
307,32505856,94939946
308,32505856,94934684
309,32505856,94943204
315,33554432,98000576
316,33554432,97998676
317,33554432,98009784
318,33554432,98003706
319,33554432,98008832
325,34603008,101070970
326,34603008,101060004
327,34603008,101063092
328,34603008,101068368
329,34603008,101065202
335,35651584,104130280
336,35651584,104121424
337,35651584,104126612
338,35651584,104131820
339,35651584,104125282
345,36700160,107192944
346,36700160,107187044
347,36700160,107178698
348,36700160,107183796
349,36700160,107197368
355,37748736,110252624
356,37748736,110250460
357,37748736,110250034
358,37748736,110251168
359,37748736,110251980
365,38797312,113315458
366,38797312,113309722
367,38797312,113319098
368,38797312,113320030
369,38797312,113301610
375,39845888,116373352
376,39845888,116371228
377,39845888,116369398
378,39845888,116377448
379,39845888,116385660
385,40894464,119440966
386,40894464,119440824
387,40894464,119441692
388,40894464,119439738
389,40894464,119441048
