workload_counter,input_len,max_freq,aperf,mperf
0,1048576,3700000000,1099231028,1042860911
1,1048576,3700000000,3227027,3061821
2,1048576,3700000000,3228905,3063760
3,1048576,3700000000,3232395,3066901
4,1048576,3700000000,3236596,3071094
10,2097152,3700000000,6454701,6123965
11,2097152,3700000000,6480634,6149086
12,2097152,3700000000,6450257,6119887
13,2097152,3700000000,6452763,6122110
14,2097152,3700000000,6515644,6181975
20,3145728,3700000000,9684321,9188154
21,3145728,3700000000,9673163,9177565
22,3145728,3700000000,9672641,9177057
23,3145728,3700000000,9859435,9354307
24,3145728,3700000000,9679291,9183243
30,4194304,3700000000,12929652,12267107
31,4194304,3700000000,12910161,12248559
32,4194304,3700000000,13138668,12465418
33,4194304,3700000000,12900562,12239313
34,4194304,3700000000,12897400,12236259
40,5242880,3700000000,16130076,15303179
41,5242880,3700000000,16134581,15307492
42,5242880,3700000000,16139729,15312542
43,5242880,3700000000,16513256,15667035
44,5242880,3700000000,16127464,15300723
50,6291456,3700000000,19368960,18376163
51,6291456,3700000000,19398004,18403670
52,6291456,3700000000,19352680,18360653
53,6291456,3700000000,19649398,18642028
54,6291456,3700000000,19359995,18367440
60,7340032,3700000000,22577580,21420040
61,7340032,3700000000,22588563,21430512
62,7340032,3700000000,22585048,21427365
63,7340032,3700000000,22768269,21601222
64,7340032,3700000000,22576298,21419074
70,8388608,3700000000,26021577,24687593
71,8388608,3700000000,25837898,24513195
72,8388608,3700000000,26397558,25044306
73,8388608,3700000000,25810000,24486905
74,8388608,3700000000,26146670,24806395
80,9437184,3700000000,29038099,27549257
81,9437184,3700000000,29022251,27534213
82,9437184,3700000000,29158518,27663779
83,9437184,3700000000,29034575,27545905
84,9437184,3700000000,29025105,27536944
90,10485760,3700000000,32249197,30595856
91,10485760,3700000000,32252618,30598906
92,10485760,3700000000,32251214,30597605
93,10485760,3700000000,32434280,30771532
94,10485760,3700000000,32247643,30594252
100,11534336,3700000000,36289870,34429152
101,11534336,3700000000,35483310,33664147
102,11534336,3700000000,35510229,33689799
103,11534336,3700000000,35763468,33929885
104,11534336,3700000000,35595104,33770193
110,12582912,3700000000,38701499,36717075
111,12582912,3700000000,39337926,37320876
112,12582912,3700000000,38705090,36720664
113,12582912,3700000000,38699354,36715064
114,12582912,3700000000,38709258,36724445
120,13631488,3700000000,41927366,39777688
121,13631488,3700000000,41931585,39781524
122,13631488,3700000000,42616727,40432712
123,13631488,3700000000,41915064,39765848
124,13631488,3700000000,41925350,39775982
130,14680064,3700000000,45284058,42962126
131,14680064,3700000000,45148173,42833357
132,14680064,3700000000,45149341,42834299
133,14680064,3700000000,45982811,43625156
134,14680064,3700000000,45149058,42834160
140,15728640,3700000000,48382354,45901515
141,15728640,3700000000,48482170,45996186
142,15728640,3700000000,48367199,45887267
143,15728640,3700000000,48369996,45889765
144,15728640,3700000000,49256801,46731326
150,16777216,3700000000,51613712,48967286
151,16777216,3700000000,51598075,48952338
152,16777216,3700000000,51736192,49083330
153,16777216,3700000000,51619981,48973267
154,16777216,3700000000,51640264,48992319
160,17825792,3700000000,54824783,52013543
161,17825792,3700000000,54828722,52017433
162,17825792,3700000000,56095294,53219220
163,17825792,3700000000,54838783,52026854
164,17825792,3700000000,54882625,52068424
170,18874368,3700000000,58306115,55316558
171,18874368,3700000000,58088877,55111201
172,18874368,3700000000,58032461,55056740
173,18874368,3700000000,59314646,56273553
174,18874368,3700000000,58057084,55080057
180,19922944,3700000000,62085120,58901732
181,19922944,3700000000,61296366,58153420
182,19922944,3700000000,61307843,58164290
183,19922944,3700000000,61314330,58170458
184,19922944,3700000000,61321742,58177565
190,20971520,3700000000,64903838,61575971
191,20971520,3700000000,64564119,61253557
192,20971520,3700000000,64510336,61202434
193,20971520,3700000000,64502395,61195040
194,20971520,3700000000,64509989,61202050
200,22020096,3700000000,67768689,64293825
201,22020096,3700000000,67928855,64445806
202,22020096,3700000000,67733724,64260498
203,22020096,3700000000,68750019,65224829
204,22020096,3700000000,67740193,64266650
210,23068672,3700000000,70950609,67312412
211,23068672,3700000000,71194208,67543672
212,23068672,3700000000,70954161,67315761
213,23068672,3700000000,71714514,68037310
214,23068672,3700000000,70952730,67314596
220,24117248,3700000000,74905680,71064831
221,24117248,3700000000,74248374,70441213
222,24117248,3700000000,74272911,70464501
223,24117248,3700000000,76745888,72810777
224,24117248,3700000000,74163668,70360716
230,25165824,3700000000,79266894,75202458
231,25165824,3700000000,77393475,73424863
232,25165824,3700000000,77451225,73479644
233,25165824,3700000000,77690919,73707032
234,25165824,3700000000,77405992,73436757
240,26214400,3700000000,80641897,76506900
241,26214400,3700000000,80653751,76517939
242,26214400,3700000000,81991407,77787284
243,26214400,3700000000,80632310,76497578
244,26214400,3700000000,80636450,76501523
250,27262976,3700000000,83856619,79556742
251,27262976,3700000000,83829795,79531132
252,27262976,3700000000,84922057,80567391
253,27262976,3700000000,83836499,79537526
254,27262976,3700000000,83891310,79589637
260,28311552,3700000000,87080817,82615581
261,28311552,3700000000,87114686,82647595
262,28311552,3700000000,87075754,82610616
263,28311552,3700000000,87074952,82610030
264,28311552,3700000000,87763822,83263659
270,29360128,3700000000,90350134,85717241
271,29360128,3700000000,90309216,85678420
272,29360128,3700000000,90303354,85672863
273,29360128,3700000000,91773003,87067186
274,29360128,3700000000,90301790,85671195
280,30408704,3700000000,95657924,90753023
281,30408704,3700000000,93528430,88732376
282,30408704,3700000000,93515690,88720343
283,30408704,3700000000,93730139,88923770
284,30408704,3700000000,94005541,89185075
290,31457280,3700000000,96735442,91775090
291,31457280,3700000000,96785050,91822218
292,31457280,3700000000,98484325,93434414
293,31457280,3700000000,97242803,92256456
294,31457280,3700000000,96755058,91793523
300,32505856,3700000000,99967020,94841025
301,32505856,3700000000,101260010,96067658
302,32505856,3700000000,99962026,94836047
303,32505856,3700000000,99970737,94844489
304,32505856,3700000000,102229246,96988012
310,33554432,3700000000,103200795,97908714
311,33554432,3700000000,103609965,98296958
312,33554432,3700000000,103208011,97915613
313,33554432,3700000000,103185953,97894670
314,33554432,3700000000,103684282,98367596
320,34603008,3700000000,106471921,101012365
321,34603008,3700000000,106429191,100971577
322,34603008,3700000000,106440932,100982720
323,34603008,3700000000,108524570,102960139
324,34603008,3700000000,106453480,100994608
330,35651584,3700000000,111110278,105412761
331,35651584,3700000000,110191558,104540990
332,35651584,3700000000,109647754,104025102
333,35651584,3700000000,111010007,105317926
334,35651584,3700000000,109719205,104092858
340,36700160,3700000000,112943126,107151444
341,36700160,3700000000,112997072,107202782
342,36700160,3700000000,112867241,107079616
343,36700160,3700000000,114880913,108990103
344,36700160,3700000000,112868907,107081211
350,37748736,3700000000,116786264,110797796
351,37748736,3700000000,116115579,110161227
352,37748736,3700000000,117298414,111283644
353,37748736,3700000000,116110372,110156424
354,37748736,3700000000,116529557,110554004
360,38797312,3700000000,119341708,113222060
361,38797312,3700000000,121947662,115694472
362,38797312,3700000000,119313338,113195157
363,38797312,3700000000,119405959,113282888
364,38797312,3700000000,122017944,115761154
370,39845888,3700000000,123855635,117504633
371,39845888,3700000000,122535018,116251620
372,39845888,3700000000,122538147,116254426
373,39845888,3700000000,125378108,118948793
374,39845888,3700000000,122544499,116260618
380,40894464,3700000000,126180723,119710413
381,40894464,3700000000,125767189,119318047
382,40894464,3700000000,128720184,122119609
383,40894464,3700000000,125762274,119314003
384,40894464,3700000000,125837647,119384852
