workload_counter,input_len,max_freq,aperf,mperf
5,1048576,3700000000,3229431,3064120
6,1048576,3700000000,3229709,3064361
7,1048576,3700000000,3229540,3064201
8,1048576,3700000000,3229026,3063724
9,1048576,3700000000,3232415,3066947
15,2097152,3700000000,6507048,6173642
16,2097152,3700000000,6455823,6125025
17,2097152,3700000000,6454244,6123561
18,2097152,3700000000,6452393,6121800
19,2097152,3700000000,6453783,6123123
25,3145728,3700000000,9681365,9185167
26,3145728,3700000000,9685425,9189021
27,3145728,3700000000,9678759,9182684
28,3145728,3700000000,9681892,9185659
29,3145728,3700000000,9683041,9186737
35,4194304,3700000000,12909043,12247317
36,4194304,3700000000,12909141,12247423
37,4194304,3700000000,12907971,12246296
38,4194304,3700000000,12908649,12246958
39,4194304,3700000000,12911568,12249706
45,5242880,3700000000,16135715,15308525
46,5242880,3700000000,16139025,15311657
47,5242880,3700000000,16137237,15309978
48,5242880,3700000000,16134244,15307142
49,5242880,3700000000,16129307,15302448
55,6291456,3700000000,19350059,18358007
56,6291456,3700000000,19346771,18354921
57,6291456,3700000000,19351713,18359587
58,6291456,3700000000,19353547,18361336
59,6291456,3700000000,19350900,18358823
65,7340032,3700000000,22579988,21422308
66,7340032,3700000000,22577991,21420439
67,7340032,3700000000,22575139,21417742
68,7340032,3700000000,22576976,21419460
69,7340032,3700000000,22576500,21419010
75,8388608,3700000000,25799699,24476932
76,8388608,3700000000,25802507,24479593
77,8388608,3700000000,25802774,24479828
78,8388608,3700000000,25799276,24476524
79,8388608,3700000000,25803303,24480348
85,9437184,3700000000,29025964,27537741
86,9437184,3700000000,29026973,27538686
87,9437184,3700000000,29025078,27536889
88,9437184,3700000000,29018664,27530812
89,9437184,3700000000,29025416,27537237
95,10485760,3700000000,32254437,30600640
96,10485760,3700000000,32255051,30601226
97,10485760,3700000000,32243642,30590404
98,10485760,3700000000,32247093,30593678
99,10485760,3700000000,32250818,30597215
105,11534336,3700000000,35469511,33650826
106,11534336,3700000000,35464436,33646027
107,11534336,3700000000,35469074,33650434
108,11534336,3700000000,35473019,33654167
109,11534336,3700000000,35469581,33650908
115,12582912,3700000000,38693873,36709835
116,12582912,3700000000,38693810,36709821
117,12582912,3700000000,38696092,36711965
118,12582912,3700000000,38695988,36711887
119,12582912,3700000000,38700071,36715725
125,13631488,3700000000,41921940,39772403
126,13631488,3700000000,41926110,39776332
127,13631488,3700000000,41919083,39769666
128,13631488,3700000000,41925355,39775613
129,13631488,3700000000,41923536,39773876
135,14680064,3700000000,45145672,42830786
136,14680064,3700000000,45142731,42828020
137,14680064,3700000000,45144286,42829497
138,14680064,3700000000,45144725,42829886
139,14680064,3700000000,45153989,42838666
145,15728640,3700000000,48369389,45889219
146,15728640,3700000000,48373556,45893151
147,15728640,3700000000,48364634,45884688
148,15728640,3700000000,48374353,45893903
149,15728640,3700000000,48367200,45887110
155,16777216,3700000000,51588884,48943588
156,16777216,3700000000,51591346,48945929
157,16777216,3700000000,51586618,48941422
158,16777216,3700000000,51589660,48944322
159,16777216,3700000000,51586806,48941591
165,17825792,3700000000,54812684,52002050
166,17825792,3700000000,54815545,52004787
167,17825792,3700000000,54819740,52008737
168,17825792,3700000000,54830741,52019188
169,17825792,3700000000,54817448,52006584
175,18874368,3700000000,58056515,55079538
176,18874368,3700000000,58045598,55069181
177,18874368,3700000000,58045111,55068722
178,18874368,3700000000,58044491,55068133
179,18874368,3700000000,58045118,55068725
185,19922944,3700000000,61274207,58132213
186,19922944,3700000000,61272989,58131053
187,19922944,3700000000,61264561,58123086
188,19922944,3700000000,61270733,58128927
189,19922944,3700000000,61260433,58119153
195,20971520,3700000000,64494525,61187414
196,20971520,3700000000,64488277,61181488
197,20971520,3700000000,64488142,61181327
198,20971520,3700000000,64492042,61185027
199,20971520,3700000000,64496417,61189174
205,22020096,3700000000,67710371,64238303
206,22020096,3700000000,67724930,64252137
207,22020096,3700000000,67720386,64247830
208,22020096,3700000000,67724108,64251333
209,22020096,3700000000,67724927,64252134
215,23068672,3700000000,70937002,67299481
216,23068672,3700000000,70942386,67304604
217,23068672,3700000000,70955793,67317292
218,23068672,3700000000,70941222,67303483
219,23068672,3700000000,70934199,67296820
225,24117248,3700000000,74165187,70362133
226,24117248,3700000000,74159247,70356500
227,24117248,3700000000,74164305,70361284
228,24117248,3700000000,74166461,70363307
229,24117248,3700000000,74161579,70358680
235,25165824,3700000000,77384615,73416451
236,25165824,3700000000,77393873,73425253
237,25165824,3700000000,77395666,73426941
238,25165824,3700000000,77383591,73415497
239,25165824,3700000000,77387258,73418958
245,26214400,3700000000,80608546,76475046
246,26214400,3700000000,80687741,76550191
247,26214400,3700000000,80613856,76480112
248,26214400,3700000000,80611139,76477517
249,26214400,3700000000,80616187,76482326
255,27262976,3700000000,83832771,79533953
256,27262976,3700000000,83845653,79546155
257,27262976,3700000000,83829124,79530473
258,27262976,3700000000,83832873,79534031
259,27262976,3700000000,83839762,79540558
265,28311552,3700000000,87053742,82589736
266,28311552,3700000000,87052157,82588238
267,28311552,3700000000,87060969,82596586
268,28311552,3700000000,87061188,82596813
269,28311552,3700000000,87060778,82596408
275,29360128,3700000000,90289982,85660014
276,29360128,3700000000,90283508,85653855
277,29360128,3700000000,90273221,85644124
278,29360128,3700000000,90291587,85661527
279,29360128,3700000000,90284659,85654967
285,30408704,3700000000,93509696,88714607
286,30408704,3700000000,93514216,88718896
287,30408704,3700000000,93498097,88703616
288,30408704,3700000000,93508326,88713330
289,30408704,3700000000,93512834,88717582
295,31457280,3700000000,96727610,91767509
296,31457280,3700000000,96726131,91766089
297,31457280,3700000000,96748421,91787241
298,31457280,3700000000,96743742,91782801
299,31457280,3700000000,96727147,91767068
305,32505856,3700000000,99957012,94831293
306,32505856,3700000000,99957642,94831888
307,32505856,3700000000,99958110,94832332
308,32505856,3700000000,99942244,94817272
309,32505856,3700000000,99951453,94826038
315,33554432,3700000000,103189399,97897904
316,33554432,3700000000,103173887,97883201
317,33554432,3700000000,103184784,97893546
318,33554432,3700000000,103180930,97889879
319,33554432,3700000000,103179644,97888665
325,34603008,3700000000,106409067,100952464
326,34603008,3700000000,106397843,100941814
327,34603008,3700000000,106405804,100949365
328,34603008,3700000000,106409156,100952561
329,34603008,3700000000,106405996,100949574
335,35651584,3700000000,109618770,103997564
336,35651584,3700000000,109639421,104017176
337,35651584,3700000000,109628782,104007091
338,35651584,3700000000,109624582,104003101
339,35651584,3700000000,109642120,104019731
345,36700160,3700000000,112851132,107064191
346,36700160,3700000000,112847021,107060298
347,36700160,3700000000,112859147,107071750
348,36700160,3700000000,112841088,107054640
349,36700160,3700000000,112852446,107065423
355,37748736,3700000000,116083123,110130409
356,37748736,3700000000,116073872,110121672
357,37748736,3700000000,116076999,110124607
358,37748736,3700000000,116068255,110116313
359,37748736,3700000000,116079424,110126924
365,38797312,3700000000,119294010,113176648
366,38797312,3700000000,119310482,113192288
367,38797312,3700000000,119298231,113180650
368,38797312,3700000000,119307963,113189871
369,38797312,3700000000,119301683,113183952
375,39845888,3700000000,122523084,116240121
376,39845888,3700000000,122523470,116240505
377,39845888,3700000000,122514409,116231881
378,39845888,3700000000,122525083,116242024
379,39845888,3700000000,122527060,116243909
385,40894464,3700000000,125747131,119298834
386,40894464,3700000000,125757656,119308835
387,40894464,3700000000,125751670,119303135
388,40894464,3700000000,125756256,119307509
389,40894464,3700000000,125765041,119315830
