workload_counter,input_len,workload_cycles
5,1048576,8485372
6,1048576,8463364
7,1048576,8463856
8,1048576,8468380
9,1048576,8469654
15,2097152,16999754
16,2097152,16979502
17,2097152,16995118
18,2097152,16995418
19,2097152,17028744
25,3145728,25566668
26,3145728,25591746
27,3145728,25554390
28,3145728,25557272
29,3145728,25591120
35,4194304,34119176
36,4194304,34131172
37,4194304,34139884
38,4194304,34197812
39,4194304,34104918
45,5242880,42975104
46,5242880,42960554
47,5242880,42924000
48,5242880,42925806
49,5242880,42880300
55,6291456,65784916
56,6291456,67177392
57,6291456,65456430
58,6291456,67084020
59,6291456,65859860
65,7340032,76195578
66,7340032,74474222
67,7340032,74261920
68,7340032,79203502
69,7340032,74952370
75,8388608,82648146
76,8388608,82102116
77,8388608,83382084
78,8388608,84873334
79,8388608,84859498
85,9437184,92524574
86,9437184,95945722
87,9437184,94759432
88,9437184,97040598
89,9437184,92419386
95,10485760,101570996
96,10485760,104310158
97,10485760,104277286
98,10485760,106744078
99,10485760,104345460
105,11534336,113856362
106,11534336,123319144
107,11534336,117153270
108,11534336,118820326
109,11534336,117582476
115,12582912,163332558
116,12582912,154320450
117,12582912,163804944
118,12582912,161173174
119,12582912,165138320
125,13631488,227758718
126,13631488,228724156
127,13631488,224373558
128,13631488,226916540
129,13631488,229220478
135,14680064,279022824
136,14680064,277228086
137,14680064,279191230
138,14680064,278149550
139,14680064,278555864
145,15728640,314643538
146,15728640,314995186
147,15728640,315023394
148,15728640,315414250
149,15728640,316666228
155,16777216,352788592
156,16777216,351445038
157,16777216,351185450
158,16777216,353274954
159,16777216,349275232
165,17825792,384104600
166,17825792,383694434
167,17825792,384290574
168,17825792,384761200
169,17825792,383070480
175,18874368,417739568
176,18874368,416815772
177,18874368,415605686
178,18874368,415951930
179,18874368,416417984
185,19922944,445993874
186,19922944,445887614
187,19922944,446062880
188,19922944,446282978
189,19922944,447507220
195,20971520,476136828
196,20971520,477617324
197,20971520,476560234
198,20971520,477416492
199,20971520,476152262
205,22020096,505285104
206,22020096,507910016
207,22020096,507367902
208,22020096,509353894
209,22020096,508406782
215,23068672,537861512
216,23068672,538897574
217,23068672,537919932
218,23068672,539778936
219,23068672,538257732
225,24117248,567034676
226,24117248,565741646
227,24117248,567167814
228,24117248,566775986
229,24117248,565205986
235,25165824,597591116
236,25165824,594783116
237,25165824,596868560
238,25165824,597289120
239,25165824,595764136
245,26214400,627662098
246,26214400,625417086
247,26214400,624626204
248,26214400,627045280
249,26214400,625965822
255,27262976,656862884
256,27262976,657363744
257,27262976,657333008
258,27262976,656076192
259,27262976,656362680
265,28311552,685844438
266,28311552,685566760
267,28311552,684992558
268,28311552,685555256
269,28311552,686028586
275,29360128,714435292
276,29360128,714474616
277,29360128,714718296
278,29360128,713886776
279,29360128,715325996
285,30408704,743762502
286,30408704,742430260
287,30408704,744796666
288,30408704,743846362
289,30408704,743654820
295,31457280,775265776
296,31457280,772825024
297,31457280,774171650
298,31457280,772805288
299,31457280,774376936
305,32505856,802637938
306,32505856,802354460
307,32505856,801440156
308,32505856,801718740
309,32505856,801851644
315,33554432,831619584
316,33554432,830544670
317,33554432,830853764
318,33554432,831539380
319,33554432,830686386
325,34603008,861246908
326,34603008,860680304
327,34603008,861909408
328,34603008,859927970
329,34603008,861153574
335,35651584,891661138
336,35651584,890805828
337,35651584,890367360
338,35651584,889329338
339,35651584,889027826
345,36700160,918374906
346,36700160,919134734
347,36700160,917924390
348,36700160,918712926
349,36700160,917912942
355,37748736,947344926
356,37748736,946896290
357,37748736,947587732
358,37748736,946671280
359,37748736,947656334
365,38797312,976338162
366,38797312,975598812
367,38797312,975930800
368,38797312,975258250
369,38797312,977649372
375,39845888,1004908716
376,39845888,1005774668
377,39845888,1005783812
378,39845888,1006508750
379,39845888,1005842466
385,40894464,1035222108
386,40894464,1033275954
387,40894464,1033773898
388,40894464,1034048878
389,40894464,1035567852
