workload_counter,input_len,max_freq,aperf,mperf
0,1048576,3700000000,1099226972,1042856819
1,1048576,3700000000,9316912,8839381
2,1048576,3700000000,8956213,8497245
3,1048576,3700000000,8999101,8537906
4,1048576,3700000000,9568590,9078387
10,2097152,3700000000,18030022,17105861
11,2097152,3700000000,20218570,19182159
12,2097152,3700000000,17968625,17047452
13,2097152,3700000000,17974560,17053055
14,2097152,3700000000,18053704,17128194
20,3145728,3700000000,27169564,25776544
21,3145728,3700000000,37239457,35330216
22,3145728,3700000000,26992769,25608790
23,3145728,3700000000,27180388,25786952
24,3145728,3700000000,29600504,28082982
30,4194304,3700000000,154125234,146221843
31,4194304,3700000000,36676667,34796225
32,4194304,3700000000,35898790,34058098
33,4194304,3700000000,38890666,36896551
34,4194304,3700000000,36224042,34366699
40,5242880,3700000000,50385540,47802112
41,5242880,3700000000,45237249,42917834
42,5242880,3700000000,68913527,65379976
43,5242880,3700000000,53686674,50933810
44,5242880,3700000000,61592985,58434834
50,6291456,3700000000,93192057,88413261
51,6291456,3700000000,276778671,262585723
52,6291456,3700000000,93239869,88458667
53,6291456,3700000000,275655424,261519839
54,6291456,3700000000,92923159,88158345
60,7340032,3700000000,85248213,80876765
61,7340032,3700000000,110524697,104857082
62,7340032,3700000000,88081841,83565101
63,7340032,3700000000,108861307,103279118
64,7340032,3700000000,97659578,92651851
70,8388608,3700000000,129573201,122928896
71,8388608,3700000000,341889242,324356752
72,8388608,3700000000,130550608,123856165
73,8388608,3700000000,387022789,367176366
74,8388608,3700000000,129029448,122413002
80,9437184,3700000000,428975281,406977166
81,9437184,3700000000,150584998,142863131
82,9437184,3700000000,151112544,143363644
83,9437184,3700000000,254846234,241777620
84,9437184,3700000000,155816746,147826450
90,10485760,3700000000,493617343,468304971
91,10485760,3700000000,184927731,175444700
92,10485760,3700000000,184674443,175204258
93,10485760,3700000000,286456464,271766824
94,10485760,3700000000,179411041,170210919
100,11534336,3700000000,502224452,476469941
101,11534336,3700000000,231910160,220017779
102,11534336,3700000000,184905117,175423938
103,11534336,3700000000,321102793,304636462
