workload_counter,input_len,max_freq,aperf,mperf
5,1048576,3700000000,8912220,8455482
6,1048576,3700000000,8900140,8444001
7,1048576,3700000000,8904641,8448275
8,1048576,3700000000,8899304,8443219
9,1048576,3700000000,8901428,8445249
15,2097152,3700000000,17868031,16951986
16,2097152,3700000000,17858381,16942859
17,2097152,3700000000,17866402,16950452
18,2097152,3700000000,17937366,17017783
19,2097152,3700000000,17895349,16977929
25,3145728,3700000000,26808637,25434111
26,3145728,3700000000,26879138,25501001
27,3145728,3700000000,26939145,25557939
28,3145728,3700000000,26900742,25521510
29,3145728,3700000000,26956874,25574741
35,4194304,3700000000,35758326,33924850
36,4194304,3700000000,35961958,34118026
37,4194304,3700000000,35937456,34094784
38,4194304,3700000000,35940091,34097288
39,4194304,3700000000,35858278,34019654
45,5242880,3700000000,44880397,42579129
46,5242880,3700000000,45152911,42837667
47,5242880,3700000000,44969182,42663322
48,5242880,3700000000,45088791,42776839
49,5242880,3700000000,45083316,42771647
55,6291456,3700000000,71719077,68041441
56,6291456,3700000000,70929520,67292411
57,6291456,3700000000,70745115,67117435
58,6291456,3700000000,70783774,67154118
59,6291456,3700000000,71678403,68002843
65,7340032,3700000000,80318031,76199437
66,7340032,3700000000,80641447,76506262
67,7340032,3700000000,82528990,78297017
68,7340032,3700000000,81611928,77426976
69,7340032,3700000000,82330867,78109054
75,8388608,3700000000,92381805,87644561
76,8388608,3700000000,92493752,87750746
77,8388608,3700000000,91514110,86821367
78,8388608,3700000000,91464316,86774131
79,8388608,3700000000,91116540,86444169
85,9437184,3700000000,102587977,97327331
86,9437184,3700000000,101554098,96346487
87,9437184,3700000000,102433289,97180566
88,9437184,3700000000,104019244,98685176
89,9437184,3700000000,103812986,98489530
95,10485760,3700000000,114759194,108874397
96,10485760,3700000000,112978314,107185010
97,10485760,3700000000,112329166,106569140
98,10485760,3700000000,111583353,105861440
99,10485760,3700000000,115203428,109295828
105,11534336,3700000000,128777908,122174335
106,11534336,3700000000,128639312,122042727
107,11534336,3700000000,129564907,122921029
108,11534336,3700000000,129944008,123280548
109,11534336,3700000000,127351494,120821111
115,12582912,3700000000,185313186,175810257
116,12582912,3700000000,179833686,170611899
117,12582912,3700000000,178300298,169157159
118,12582912,3700000000,180254860,171011309
119,12582912,3700000000,179946044,170718517
125,13631488,3700000000,248395031,235657283
126,13631488,3700000000,249695518,236891096
127,13631488,3700000000,244769750,232217914
128,13631488,3700000000,250254233,237420990
129,13631488,3700000000,246899688,234238643
135,14680064,3700000000,297347081,282098964
136,14680064,3700000000,298860165,283534483
137,14680064,3700000000,295847757,280676545
138,14680064,3700000000,297374423,282124759
139,14680064,3700000000,294619160,279510970
145,15728640,3700000000,335083724,317900412
146,15728640,3700000000,336811074,319539152
147,15728640,3700000000,336283564,319038713
148,15728640,3700000000,335523281,318317265
149,15728640,3700000000,337557176,320247006
155,16777216,3700000000,374411705,355211574
156,16777216,3700000000,374059867,354877774
157,16777216,3700000000,372379293,353283935
158,16777216,3700000000,372849357,353729336
159,16777216,3700000000,372823399,353704686
165,17825792,3700000000,407698421,386791283
166,17825792,3700000000,406049708,385227110
167,17825792,3700000000,405942129,385125869
168,17825792,3700000000,408063887,387137866
169,17825792,3700000000,407234467,386350922
175,18874368,3700000000,439835121,417279781
176,18874368,3700000000,439896104,417337791
177,18874368,3700000000,440971774,418358176
178,18874368,3700000000,440110156,417540862
179,18874368,3700000000,440266543,417689243
185,19922944,3700000000,473797258,449500251
186,19922944,3700000000,473162068,448897825
187,19922944,3700000000,473581087,449295328
188,19922944,3700000000,474234896,449915605
189,19922944,3700000000,472649954,448411937
195,20971520,3700000000,504912614,479020104
196,20971520,3700000000,504994247,479097372
197,20971520,3700000000,505316346,479403162
198,20971520,3700000000,505300032,479387500
199,20971520,3700000000,505655474,479724726
205,22020096,3700000000,536823201,509294281
206,22020096,3700000000,537873689,510290870
207,22020096,3700000000,536930188,509395757
208,22020096,3700000000,536962942,509426834
209,22020096,3700000000,538042960,510451354
215,23068672,3700000000,568180861,539043667
216,23068672,3700000000,568605560,539446602
217,23068672,3700000000,568547153,539391210
218,23068672,3700000000,569294035,540099937
219,23068672,3700000000,568552665,539396562
225,24117248,3700000000,599758423,569001857
226,24117248,3700000000,601191171,570361177
227,24117248,3700000000,599776994,569019672
228,24117248,3700000000,600130703,569355033
229,24117248,3700000000,600446604,569654797
235,25165824,3700000000,632251912,599829194
236,25165824,3700000000,630879759,598527404
237,25165824,3700000000,631433363,599052484
238,25165824,3700000000,632206745,599786159
239,25165824,3700000000,630798913,598450710
245,26214400,3700000000,663748855,629710726
246,26214400,3700000000,661433271,627513938
247,26214400,3700000000,662410853,628441397
248,26214400,3700000000,662493723,628520000
249,26214400,3700000000,663072913,629069472
255,27262976,3700000000,692782207,657255212
256,27262976,3700000000,693712973,658138403
257,27262976,3700000000,694111917,658516875
258,27262976,3700000000,692838409,657308549
259,27262976,3700000000,694323612,658717748
265,28311552,3700000000,725289599,688095536
266,28311552,3700000000,724604082,687445203
267,28311552,3700000000,725474511,688271155
268,28311552,3700000000,723938734,686813995
269,28311552,3700000000,724674006,687511716
275,29360128,3700000000,756004350,717235190
