workload_counter,input_len,workload_cycles
0,1048576,8481644
1,1048576,8463552
2,1048576,8484894
3,1048576,8474968
4,1048576,8470010
10,2097152,17020136
11,2097152,17027362
12,2097152,16999308
13,2097152,17036628
14,2097152,17017570
20,3145728,25576318
21,3145728,25562998
22,3145728,25598050
23,3145728,25584016
24,3145728,25614970
30,4194304,34169610
31,4194304,34463736
32,4194304,34152564
33,4194304,35738052
34,4194304,34205726
40,5242880,48541926
41,5242880,42781300
42,5242880,42914218
43,5242880,42795328
44,5242880,42858736
50,6291456,65209114
51,6291456,66554006
52,6291456,65983094
53,6291456,65067008
54,6291456,64960260
60,7340032,73792568
61,7340032,73702700
62,7340032,74375294
63,7340032,74791676
64,7340032,76873924
70,8388608,83369476
71,8388608,83590644
72,8388608,83615250
73,8388608,83235634
74,8388608,83134628
80,9437184,93182454
81,9437184,91836160
82,9437184,91874298
83,9437184,91832254
84,9437184,91829274
90,10485760,100521480
91,10485760,101246628
92,10485760,122854036
93,10485760,102331636
94,10485760,101017926
100,11534336,111717986
101,11534336,112269140
102,11534336,122648462
103,11534336,114876814
104,11534336,112403342
110,12582912,233389414
111,12582912,166524284
112,12582912,228406758
113,12582912,152105784
114,12582912,176088972
120,13631488,222792476
121,13631488,223563084
122,13631488,220233536
123,13631488,223880540
124,13631488,225154624
130,14680064,272516558
131,14680064,274391658
132,14680064,285377960
133,14680064,273555276
134,14680064,273314704
140,15728640,313044780
141,15728640,313470770
142,15728640,313011408
143,15728640,312549834
144,15728640,313028280
150,16777216,348159654
151,16777216,348879962
152,16777216,347949738
153,16777216,350642222
154,16777216,348739772
160,17825792,381950700
161,17825792,382033192
162,17825792,382798340
163,17825792,390471514
164,17825792,393275008
170,18874368,413909840
171,18874368,414305702
172,18874368,413851998
173,18874368,414421356
174,18874368,414407886
180,19922944,459065196
181,19922944,444876120
182,19922944,445193234
183,19922944,444863074
184,19922944,445765106
190,20971520,484590938
191,20971520,487928392
192,20971520,475447350
193,20971520,476152648
194,20971520,475351724
200,22020096,507436570
201,22020096,509141380
202,22020096,512380306
203,22020096,507446500
204,22020096,506269568
210,23068672,535759522
211,23068672,536239060
212,23068672,536379692
213,23068672,544866650
214,23068672,544539406
220,24117248,591120054
221,24117248,568219950
222,24117248,566202092
223,24117248,566241852
224,24117248,567692372
230,25165824,594913090
231,25165824,595280922
232,25165824,597240468
233,25165824,604241066
234,25165824,598476240
240,26214400,623928192
241,26214400,628778958
242,26214400,633344810
243,26214400,631829650
244,26214400,624338236
250,27262976,654124788
251,27262976,654265312
252,27262976,655237884
253,27262976,662223760
254,27262976,662471848
260,28311552,685598140
261,28311552,685023724
262,28311552,683320098
263,28311552,684440552
264,28311552,688203608
270,29360128,712922174
271,29360128,721218428
272,29360128,726460010
273,29360128,712891852
274,29360128,712837188
280,30408704,741824294
281,30408704,750555490
282,30408704,743761194
283,30408704,742630208
284,30408704,750987044
290,31457280,770855290
291,31457280,771533250
292,31457280,778707930
293,31457280,772122924
294,31457280,771485684
300,32505856,818017702
301,32505856,807340218
302,32505856,801102042
303,32505856,808698486
304,32505856,815575390
310,33554432,862526222
311,33554432,836618446
312,33554432,836921818
313,33554432,829332544
314,33554432,836840466
320,34603008,858248078
321,34603008,858129312
322,34603008,865636398
323,34603008,858547012
324,34603008,864057712
330,35651584,887035116
331,35651584,895018282
332,35651584,888280394
333,35651584,887290306
334,35651584,894905064
340,36700160,915698426
341,36700160,924414294
342,36700160,917253724
343,36700160,916562918
344,36700160,923590576
350,37748736,945372378
351,37748736,952535552
352,37748736,953381210
353,37748736,945207350
354,37748736,952363208
360,38797312,974144502
361,38797312,981664126
362,38797312,974255560
363,38797312,976897910
364,38797312,981766160
370,39845888,1015957834
371,39845888,1010148026
372,39845888,1006238836
373,39845888,1013360566
374,39845888,1008161338
380,40894464,1032111244
381,40894464,1039400114
382,40894464,1032070778
383,40894464,1040354796
384,40894464,1039619634
